TASK ID  | TASK NAME                      | PRODUIT              | UNITE      | POSTE LABEL               | TYPE  | ETAT    
----------------------------------------------------------------------------------------------------------------------------------
14107    | Taxation                       |                      | Courrier   | AGENT DE TAXATION         | MOD   |         
14318    | Passation sur Registre         |                      | Courrier   | AGENT OPERATIONS          | MOD   |         
14248    | Traitement sur la machine MAG  |                      | Courrier   | GUICHETIER                | MOD   |         
14249    | Réception                      |                      | Courrier   | GUICHETIER                | MOD   |         
14250    | Renseignement poids en manuel  |                      | Courrier   | GUICHETIER                | MOD   |         
14251    | Saisie données sur SI COM      |                      | Courrier   | GUICHETIER                | MOD   |         
14252    | Passation sur Registre         |                      | Courrier   | GUICHETIER                | MOD   |         
14253    | sacn retour vagumestre         |                      | Courrier   | CONTRÔLEUR FACTURATION    | MOD   |         
14105    | Expédition                     |                      | Courrier   | AGENT TRAITEMENT          | MOD   |         
14106    | Edition PART                   |                      | Courrier   | AGENT TRAITEMENT          | MOD   |         
14112    | Rapprochement entre physique e |  CR Arrivé           | Caisson    | AGENT TRAITEMENT          | MOD   |         
14109    | Comptage Colis                 |  CR Arrivé           | Caisson    | AGENT TRAITEMENT          | MOD   |         
14275    | chant et pointage              |  CR Arrivé           | Caisson    | MANUTENTIONNAIRE          | MOD   |         
14315    | chant et pointage              |  CR Arrivé           | Courrier   | MANUTENTIONNAIRE          | MOD   |         
14267    | Déchargement camion Principal  |  CR Arrivé           | Courrier   | MANUTENTIONNAIRE          | MOD   |         
14268    | Déchargement camion Principal  |  CR Arrivé           | Caisson    | MANUTENTIONNAIRE          | MOD   |         
14287    | Tri entre à distribuer  et à e |  CR Arrivé           | Caisson    | AGENT TRAITEMENT          | MOD   |         
14282    | Déchargement Camions Axes      | AMANA Dépôt Axes     | Colis      | AGENT OPERATIONS          | MOD   |         
14283    | Déchargement Camions Axes      | AMANA Dépôt Axes     | Sac        | AGENT OPERATIONS          | MOD   |         
14284    | Chant et pointage              | AMANA Dépôt Axes     | Colis      | AGENT OPERATIONS          | MOD   |         
14285    | Chant et pointage              | AMANA Dépôt Axes     | Sac        | AGENT OPERATIONS          | MOD   |         
14168    | Ouverture sac                  | AMANA Dépôt Axes     | Sac        | AGENT OPERATIONS          | MOD   |         
14170    | Comptage Colis                 | AMANA Dépôt Axes     | colis      | AGENT OPERATIONS          | MOD   |         
14171    | Rapprochement entre physique e | AMANA Dépôt Axes     | colis      | AGENT OPERATIONS          | MOD   |         
14174    | Scan & Réception SI            | AMANA Dépôt Axes     | colis      | AGENT OPERATIONS          | MOD   |         
14176    | Tri par Destination            | AMANA Dépôt Axes     | colis      | AGENT OPERATIONS          | MOD   |         
14254    | Confirmation réception  scan ( | AMANA Dépôt local    | colis      | AGENT OPERATIONS          | MOD   |         
14255    | Confirmation réception  Saisie | AMANA Dépôt local    | colis      | AGENT OPERATIONS          | MOD   |         
14256    | Taxation : Saisie excel - Créa | AMANA Dépôt local    | colis      | AGENT OPERATIONS          | MOD   |         
14151    | ouverture Sac                  | AMANA Dépôt local    | Sac        | AGENT OPERATIONS          | MOD   |         
14153    | Pesée                          | AMANA Dépôt local    | colis      | AGENT OPERATIONS          | MOD   |         
14157    | correction et rajout poids     | AMANA Dépôt local    | colis      | AGENT OPERATIONS          | MOD   |         
14159    | Confirmation réception  Saisie | AMANA Dépôt local    | colis      | AGENT OPERATIONS          | MOD   |         
14161    | Confirmation réception  Créati | AMANA Dépôt local    | colis      | AGENT OPERATIONS          | MOD   |         
14164    | Tri par Destination            | AMANA Dépôt local    | colis      | AGENT OPERATIONS          | MOD   |         
14146    | Déchargement Camions Collecte  | AMANA Dépôt local    | Colis      | AGENT OPERATIONS          | MOD   |         
14147    | Déchargement Camions Collecte  | AMANA Dépôt local    | Sac        | AGENT OPERATIONS          | MOD   |         
14258    | Opération guichet : Dépôt      | AMANA Dépôt local    | colis      | GUICHETIER                | MOD   |         
14313    | Opération guichet : Dépôt (int | AMANA Dépôt local    | colis      | GUICHETIER                | MOD   |         
14204    | Remise avisés au guichet       | AMANA Dépôt local    | colis      | GUICHETIER                | MOD   |         
14206    | Etat Levée                     | AMANA Dépôt local    | colis      | GUICHETIER                | MOD   |         
14198    | Remise avisés au guichet       | AMANA Dépôt local    | colis      | AGENT TRAITEMENT          | MOD   |         
14200    | Etat Levée                     | AMANA Dépôt local    | colis      | AGENT TRAITEMENT          | MOD   |         
14297    | collecte colis                 | AMANA Dépôt local    | Colis      | FACTEUR COLLECTEUR        | MOD   |         
14177    | contrôle                       | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14178    | création dépeche               | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14179    | classement en cabine instance  | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14180    | mise en sac                    | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14181    | fermeture sac                  | AMANA Dépôt total    | Sac        | AGENT TRAITEMENT          | MOD   |         
14182    | numérotage                     | AMANA Dépôt total    | Sac        | AGENT TRAITEMENT          | MOD   |         
14183    | ecriture n° dépêches           | AMANA Dépôt total    | Sac        | AGENT TRAITEMENT          | MOD   |         
14184    | ecriture nbre colis à envoyer  | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14185    | saisi sur excel                | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14186    | saisi Sur SI                   | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14187    | envoi vers application des par | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14188    | impression manifeste 101       | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14189    | Edition PART                   | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14191    | contrôle                       | AMANA Dépôt total    | Sac        | AGENT TRAITEMENT          | MOD   |         
14192    | impression borderau            | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14193    | renseignement envoie sur regis | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14194    | Expédition                     | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14195    | préparation colis pour chargem | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14196    | chargement départ              | AMANA Dépôt total    | colis      | AGENT TRAITEMENT          | MOD   |         
14197    | chargement départ              | AMANA Dépôt total    | Sac        | AGENT TRAITEMENT          | MOD   |         
14118    | préparation chargement camion  | AMANA Reçu Axes      | Colis      | AGENT OPERATIONS          | MOD   |         
14120    | renseignement part             | AMANA Reçu Axes      | Colis      | AGENT OPERATIONS          | MOD   |         
14123    | signature part  et départ axe  | AMANA Reçu Axes      | Colis      | AGENT OPERATIONS          | MOD   |         
14125    | chargement VAN axe             | AMANA Reçu Axes      | Colis      | AGENT OPERATIONS          | MOD   |         
14126    | Ouverture sac à Distribuer sur | AMANA Reçu local     | Sac        | AGENT OPERATIONS          | MOD   |         
14136    | Contrôle facteurs Avant Départ | AMANA Reçu local     | Colis      | AGENT OPERATIONS          | MOD   |         
14132    | Envoi details colis à distribu | AMANA Reçu local     | Colis      | AGENT OPERATIONS          | MOD   |         
14144    | Etats non distribué            | AMANA Reçu local     | Colis      | AGENT OPERATIONS          | MOD   |         
14205    | Passation Vs Guichet           | AMANA Reçu local     | colis      | GUICHETIER                | MOD   |         
14259    | Opération guichet : Retrait    | AMANA Reçu local     | colis      | GUICHETIER                | MOD   |         
14294    | Affectation au guichet ( Non d | AMANA Reçu local     | Colis      | AGENT OPERATIONS          | MOD   |         
14211    | etat argent CRBT               | AMANA Reçu local     | Colis      | GESTIONNAIRE DES OPERATIO | MOD   |         
14215    | Tri Général (Par secteur)      | AMANA Reçu local     | Colis      | GESTIONNAIRE DES OPERATIO | MOD   |         
14216    | Affectation Colis Facteurs     | AMANA Reçu local     | Colis      | GESTIONNAIRE DES OPERATIO | MOD   |         
14217    | Passation Avec Controleur      | AMANA Reçu local     | Colis      | GESTIONNAIRE DES OPERATIO | MOD   |         
14218    | Tri Par tournée                | AMANA Reçu local     | Colis      | GESTIONNAIRE DES OPERATIO | MOD   |         
14219    | impression DNL                 | AMANA Reçu local     | Colis      | GESTIONNAIRE DES OPERATIO | MOD   |         
14221    | Appel Client                   | AMANA Reçu local     | Colis      | GESTIONNAIRE DES OPERATIO | MOD   |         
14222    | retour info facteur            | AMANA Reçu local     | Colis      | GESTIONNAIRE DES OPERATIO | MOD   |         
14223    | Réception colis avisé sur  SI  | AMANA Reçu local     | Colis      | GESTIONNAIRE DES OPERATIO | MOD   |         
14296    | Distribution                   | AMANA Reçu local     | Colis      | GESTIONNAIRE DES OPERATIO | MOD   |         
